ch_sample,sol_number,Ref_EC,Date,Volumetric,Ka_trace,Zero_Time,t_s,t_f,t_dif,int_time,Probee_index,Probe_type,Probe_L,L,Ka,v0,v1a,v1,sf,v3,vf,vr,EC_Dalton,ECtopp,
[2583],"27    Sol 10
Name: S",0.006,2    5/24/23,0,0.5,27780,1366,5483,4.12E-09,20,6,FCT,20,0.2,38.08405192,3498,2714,3322,17.60300752,2735,4095,1360,0.057212157,,
[2581],"27    Sol 11
Name: S",0,2    5/24/23,0,0.2,27780,1402,2499,1.10E-09,20,6,FCT,20,0.2,2.703925177,3619,3406,3411,23.41428571,3534,4095,561,0.040159098,,
[2582],"27    Sol. 5
Name: S",0.00722,2    5/24/23,99.9,72.6,27780,1330,7459,6.13E-09,20,6,FCT,20,0.2,84.40353909,3499,2418,3419,13.51729323,2506,4086,1580,0.056232587,,
[2571],"27    Vat 2
Name: S",0.425,2    5/24/23,-1,0.9,27780,1460,4394,2.93E-09,20,6,FCT,8,0.08,120.8875709,3506,2123,3495,5.223308271,2127,3575,1448,0.140255311,,
[2570],"27    Sol 7
Name: S",0.437,2    5/24/23,0,0.9,27780,1189,4430,3.24E-09,20,6,FCT,8,0.08,147.5093312,3506,2118,3531,5.042105263,2127,3547,1420,0.162798375,,
[2569],"27    Sol 6
Name: S",0.414,2    5/24/23,-1,0.4,27780,1440,4358,2.92E-09,20,6,FCT,8,0.08,119.572692,3507,2130,3495,5.239849624,2134,3583,1449,0.140431899,,
[2568],"27    Sol 2
Name: S",0.1568,2    5/24/23,0,0.4,27780,1329,4286,2.96E-09,20,6,FCT,8,0.08,122.7903058,3499,2307,3487,9.142105263,2318,4035,1717,0.110327815,,
[2567],"27    Sol 1
Name: S",0.0802,2    5/24/23,40.9,18.1,27780,1365,4214,2.85E-09,20,6,FCT,8,0.08,113.9846396,3523,2402,3526,11.28120301,2410,4094,1684,0.126957021,,
[2566],"27    Vat 1
Name: S",0.0511,2    5/24/23,50.4,22.2,27780,1619,4178,2.56E-09,20,6,FCT,8,0.08,91.96064393,3539,2446,3638,12.12556391,2455,4095,1640,0.12834202,,
[2565],"27    Sol 10
Name: S",0.006,2    5/24/23,0,0.5,27780,1833,3601,1.77E-09,20,6,FCT,8,0.08,43.89610168,3559,2830,3698,17.42932331,2875,4095,1220,0.188406195,,
[2564],"27    Sol 5
Name: S",0.00722,2    5/24/23,46.7,20.6,27780,1619,4178,2.56E-09,20,6,FCT,8,0.08,91.96064393,3563,2506,3670,13.80300752,2519,4095,1576,0.149192517,,
[2563],"27    Sol 11
Name: S",0,2    5/24/23,-1,35.9,27780,1763,2123,3.60E-10,20,6,FCT,8,0.08,1.819979237,3623,3546,3735,27.49924812,3546,4095,549,0.083487652,,
[2691],"27    Sol 15
Name: S",0.241,2    5/30/23,100,81.2,20105,4100,10109,6.01E-09,20,1,BUR,20,0.2,81.13081198,3634,2175,3442,3.863157895,2175,2518,343,0.220765648,0.268382154,here
[2690],"27    Sol 14
Name: S",0.282,2    5/30/23,100,81,20105,4100,10101,6.00E-09,20,1,BUR,20,0.2,80.91493099,3687,2170,3490,2.658646617,2170,2463,293,0.239003756,0.310767248,
[2689],"27    Sol 13
Name: S",0.258,2    5/30/23,100,81.8,20105,4100,10129,6.03E-09,20,1,BUR,20,0.2,81.67177272,3666,2171,3458,3.329323308,2179,2491,312,0.233080557,0.29654182,
[2688],"27    Sol 16
Name: S",0.1567,2    5/30/23,100,81.2,20105,4100,10107,6.01E-09,20,1,BUR,20,0.2,81.07681477,3499,2175,3291,7.64962406,2186,2686,500,0.17626432,0.177916823,
[2685],"27    Sol 15
Name: S",0.241,2    5/30/23,100,51.6,20885,4120,8908,4.79E-09,20,2,BCT,20,0.2,51.50978036,1711,570,1467,8.123308271,594,2295,1701,0,,
[2684],"27    Sol 14
Name: S",0.282,2    5/30/23,100,52.5,20885,4120,8952,4.83E-09,20,2,BCT,20,0.2,52.46084309,1715,547,1470,7.451879699,574,2291,1717,0,,
[2683],"27    Sol 13
Name: S",0.258,2    5/30/23,100,52,20885,4120,8929,4.81E-09,20,2,BCT,20,0.2,51.96261141,1706,562,1467,7.84962406,583,2291,1708,0,,
[2682],"27    Sol 16
Name: S",0.1567,2    5/30/23,100,51.9,20885,4120,8923,4.80E-09,20,2,BCT,20,0.2,51.83302889,1707,639,1474,10.75112782,682,2327,1645,0,,
[2679],"27    Sol 15
Name: S",0.241,2    5/30/23,100,46.4,29285,4100,5917,1.82E-09,20,2,BCT,8,0.08,46.362974,1706,670,1539,14.21278195,679,3235,2556,0,,
[2678],"27    Sol 14
Name: S",0.282,2    5/30/23,100,46.2,29285,4120,5932,1.81E-09,20,2,BCT,8,0.08,46.10816287,1695,654,1522,12.92556391,666,3246,2580,0,,
[2677],"27    Sol 13
Name: S",0.258,2    5/30/23,100,45.4,29285,4100,5897,1.80E-09,20,2,BCT,8,0.08,45.34794237,1706,667,1546,13.3406015,670,3242,2572,0,,
